Match,Red1,Red2,Red3,RedDP,Blue1,Blue2,Blue3,BlueDP,Pred,Result,Correct?,Brier
2018tes_qm41,frc6911,frc6618,frc525,138.25908530117255,frc6077,frc3667,frc3546,150.63939734259333,0.5821178615341682,BLUE,True,0.17462548164877661
2018tes_qm42,frc5114,frc6574,frc1073,139.37668164434155,frc743,frc3770,frc6090,147.46673877720812,0.5539405604973175,BLUE,True,0.19896902356944723
2018tes_qm43,frc597,frc319,frc3641,227.0345840907039,frc3258,frc708,frc1506,140.80724098779132,0.09040728910869825,RED,True,0.008173477923983749
2018tes_qm44,frc1241,frc1310,frc4472,204.9593266609881,frc527,frc1360,frc3550,160.35300484840948,0.23249065926940002,RED,True,0.054051906647520256
2018tes_qm45,frc1729,frc85,frc5567,151.49266443684658,frc1792,frc5980,frc4680,107.69243825899622,0.23636404471225692,RED,True,0.055867961632737786
2018tes_qm46,frc3098,frc4678,frc2169,173.40353044335677,frc1712,frc4039,frc2474,178.57937783289594,0.5345895140987992,BLUE,True,0.21660692038679186
2018tes_qm47,frc2869,frc6618,frc6802,106.92429056602687,frc6574,frc5090,frc2056,158.89797042522838,0.8008405417999611,BLUE,True,0.03966448979053304
2018tes_qm48,frc4618,frc1720,frc4531,146.2969752619535,frc6077,frc708,frc3770,169.23816981085247,0.6489058394861357,RED,False,0.4210787885192065
2018tes_qm49,frc340,frc4939,frc3038,183.056976403696,frc7226,frc2590,frc314,184.9845434389069,0.5128994251297228,BLUE,True,0.23726697003895458
2018tes_qm50,frc5114,frc6911,frc5528,145.22347892546105,frc1241,frc3641,frc4391,244.3530509962577,0.9342644386823409,BLUE,True,0.004321164021747722
2018tes_qm51,frc573,frc3258,frc3550,115.03835644222835,frc4680,frc4810,frc1506,114.73984600691225,0.4980019127336882,BLUE,False,0.2520020796190356
2018tes_qm52,frc319,frc3667,frc321,160.09952450666538,frc1073,frc1360,frc2168,203.60432194418124,0.7622052766733275,BLUE,True,0.05654633044200873
2018tes_qm53,frc4472,frc85,frc3546,169.95190291828135,frc7068,frc2500,frc1676,70.49020219721791,0.06519153859588397,RED,True,0.00424993670449863
2018tes_qm54,frc527,frc743,frc1729,114.76918054686274,frc3623,frc597,frc5675,144.03740919897123,0.6864629528065676,BLUE,True,0.09830547996277669
2018tes_qm55,frc2614,frc3197,frc2609,180.95882241542074,frc1792,frc525,frc6090,171.85061934752562,0.4393340384442639,RED,True,0.19301439733574594
2018tes_qm56,frc238,frc5172,frc533,200.1969270058558,frc5090,frc1310,frc291,140.17445898747505,0.1669977115632652,RED,True,0.02788823566736752
2018tes_qm57,frc2056,frc314,frc5528,202.7961777736592,frc4039,frc4680,frc3258,125.45513734502423,0.11197264118527134,RED,True,0.012537872374005523
2018tes_qm58,frc6574,frc2169,frc2474,121.14773220327572,frc3667,frc4472,frc3641,187.47017097391398,0.8551692077775042,BLUE,True,0.020975958375795762
2018tes_qm59,frc573,frc1729,frc5114,166.3691086597825,frc1676,frc319,frc1712,209.56754352709444,0.7607153676847785,BLUE,True,0.057257135262230724
2018tes_qm60,frc3770,frc5980,frc6911,114.11630453433503,frc321,frc5675,frc3038,112.51837831316801,0.48930581403608914,BLUE,False,0.2608085515773416
