Match,Red1,Red2,Red3,RedDP,Blue1,Blue2,Blue3,BlueDP,Pred,Result,Correct?,Brier
2019new_qm1,frc6348,frc253,frc973,143.18986368111194,frc6429,frc6068,frc3598,118.31876019367503,0.3394143797754387,
2019new_qm2,frc4153,frc5026,frc7843,103.01655436176213,frc1323,frc180,frc3005,207.2275465825986,0.9421423484144344,
2019new_qm3,frc4191,frc3245,frc5437,92.17767024740219,frc1540,frc4415,frc6106,158.42203581679541,0.854910115433744,
2019new_qm4,frc538,frc7761,frc604,117.94164846057336,frc7514,frc7667,frc5854,81.1659465434336,0.2719717477767294,
2019new_qm5,frc7521,frc6200,frc4635,178.6217571401713,frc1706,frc7161,frc2682,102.88135314066173,0.11630538812009382,
2019new_qm6,frc6059,frc3045,frc3674,101.75501895273176,frc6833,frc2659,frc1806,144.65946856802765,0.7592796478971117,
2019new_qm7,frc1817,frc7887,frc4265,157.98166866358957,frc1539,frc842,frc5499,143.42832415468274,0.40380039964327674,
2019new_qm8,frc624,frc4068,frc7653,143.7828504152771,frc5109,frc3354,frc7583,148.66452608608012,0.5326293571680284,
2019new_qm9,frc4201,frc5015,frc6841,127.8564713669852,frc5312,frc1902,frc2910,182.0084196417255,0.8099795872972484,
2019new_qm10,frc2073,frc1983,frc3374,164.63415367954525,frc846,frc7042,frc4504,117.57429147443952,0.22097521895252167,
2019new_qm11,frc2471,frc6388,frc5052,119.80199590282223,frc7500,frc932,frc233,114.49643044107722,0.4645464700370617,
2019new_qm12,frc180,frc7514,frc4191,123.14237171521319,frc6652,frc1817,frc6833,137.9865460370735,0.5980728134867914,
2019new_qm13,frc253,frc4635,frc842,170.92249225270956,frc7653,frc604,frc4415,150.03901898787132,0.3637466474607194,
2019new_qm14,frc5109,frc5437,frc3598,136.2241854400679,frc5026,frc3005,frc6841,142.58027144828068,0.5424424693695212,
2019new_qm15,frc973,frc3374,frc4265,153.89305166811454,frc7583,frc7521,frc1806,164.5801231218665,0.5710504563000208,
2019new_qm16,frc5499,frc6429,frc7161,167.03414161438738,frc6388,frc538,frc3245,97.93677108708945,0.13586938106421306,
2019new_qm17,frc3674,frc4504,frc2471,144.93623048723316,frc1902,frc6652,frc6348,83.47935963388353,0.1617233072007762,
2019new_qm18,frc7843,frc2073,frc5312,118.80299720104247,frc6059,frc233,frc4068,117.8784195476628,0.4938115988045353,
2019new_qm19,frc7761,frc1706,frc7500,86.24577653379666,frc1539,frc1540,frc846,133.27119112355476,0.7788659691647676,
2019new_qm20,frc2682,frc1983,frc3354,148.9290219120577,frc4153,frc6106,frc5015,134.15520562129302,0.4023800971008688,
2019new_qm21,frc7887,frc5052,frc6068,97.08307319501066,frc624,frc3045,frc5854,106.11786937694666,0.5601817839178204,
2019new_qm22,frc932,frc1323,frc6200,153.27747946144208,frc7667,frc2659,frc2910,202.32230246191665,0.7880378031313252,
2019new_qm23,frc7514,frc7042,frc7161,109.14237171521319,frc973,frc4201,frc842,170.5135012482709,0.8379652311285517,
2019new_qm24,frc6833,frc5026,frc4265,132.96359664125097,frc2073,frc4068,frc1540,164.66537366385012,0.7003134978486723,
2019new_qm25,frc233,frc3674,frc4153,169.9978403543549,frc538,frc253,frc1706,87.09737052729794,0.09800437829349798,
2019new_qm26,frc6652,frc3374,frc4415,128.03901898787132,frc5499,frc6841,frc3045,132.33583100086872,0.5287292954084005,
2019new_qm27,frc6068,frc4635,frc5437,126.51611627870443,frc2659,frc3354,frc7500,127.02682555416152,0.5034184105876018,
2019new_qm28,frc1806,frc5854,frc5109,123.02149322842732,frc7042,frc1539,frc1323,124.34558574783655,0.5088619663333915,
2019new_qm29,frc5015,frc3245,frc932,129.71538142071236,frc3598,frc7583,frc6059,91.31876019367503,0.26346415992057404,
2019new_qm30,frc1902,frc7653,frc6388,82.08517709358816,frc1983,frc4191,frc6200,126.92608831905875,0.7686282227732895,
2019new_qm31,frc846,frc3005,frc604,177.68008066232056,frc2910,frc6348,frc4201,163.91836517465345,0.4089133019954946,
2019new_qm32,frc7667,frc5312,frc6429,139.33339231412677,frc180,frc7887,frc6106,141.7908037673327,0.5164429028573503,
2019new_qm33,frc624,frc1817,frc2471,199.83860533910232,frc7521,frc2682,frc7843,117.34947361477855,0.09898226533417981,
2019new_qm34,frc4504,frc842,frc6652,118.80543588778443,frc5052,frc7761,frc233,129.56243282889417,0.571508994518452,
2019new_qm35,frc4191,frc5015,frc5109,134.66452608608012,frc2073,frc7500,frc538,106.18010893414414,0.3180714657814531,
2019new_qm36,frc7042,frc5499,frc3005,149.3637591553875,frc3674,frc7583,frc4635,175.63849221757005,0.6689602422093507,
2019new_qm37,frc180,frc1539,frc5437,116.95871926776707,frc7161,frc4068,frc3374,120.03658030112936,0.5205902005657839,
2019new_qm38,frc6068,frc604,frc1323,171.65946856802768,frc4265,frc6059,frc2682,97.02975914716045,0.11939686129782438,
2019new_qm39,frc932,frc3598,frc6348,92.09737052729794,frc7521,frc6833,frc7761,144.42196236839996,0.8023348267638134,
2019new_qm40,frc7887,frc253,frc7843,87.09005446707206,frc7514,frc6106,frc1902,100.43674504146865,0.5883982035106365,
2019new_qm41,frc1983,frc846,frc5854,146.506883814525,frc6841,frc973,frc6200,153.88085823440477,0.5491984422264705,
2019new_qm42,frc5052,frc1540,frc7667,124.8797820581658,frc1806,frc4201,frc2471,134.5900261952485,0.5646324712638663,
2019new_qm43,frc2659,frc624,frc3245,182.10892666917798,frc5312,frc1817,frc4153,167.75244649155508,0.4050699851638723,
