Match,Red1,Red2,Red3,RedDP,Blue1,Blue2,Blue3,BlueDP,Pred,Result,Correct?,Brier
2018tur_qm45,frc6314,frc568,frc1318,122.8303497747857,frc4698,frc6888,frc3663,101.34346071761667,0.3600158763844965,RED,True,0.12961143124889707
2018tur_qm46,frc2630,frc7079,frc5818,177.0287729535028,frc1296,frc2122,frc6131,164.54817917103006,0.4172291465097847,RED,True,0.17408016069728338
2018tur_qm47,frc5417,frc7063,frc4189,110.04888398789285,frc3847,frc6822,frc2658,121.49643044107722,0.5760305792361442,BLUE,True,0.1797500697428394
2018tur_qm48,frc2637,frc1744,frc360,107.62211387504257,frc4627,frc4984,frc1538,174.82250669497813,0.8580563711875417,BLUE,True,0.02014799376044893
2018tur_qm49,frc4941,frc2102,frc2557,193.30473311510374,frc2059,frc4603,frc3478,208.38903066331142,0.5996172768507689,BLUE,True,0.1603063249963938
2018tur_qm50,frc2848,frc2130,frc5908,155.6521525078018,frc6952,frc2478,frc1533,173.25081439593555,0.6156655852693153,BLUE,True,0.147712942346378
2018tur_qm12,frc4603,frc1318,frc7057,138.3004080207926,frc5584,frc5417,frc3478,172.49643044107722,0.7141391528790018,BLUE,True,0.08171642391673473
2018tur_qm21,frc3847,frc7179,frc4627,169.28235683492602,frc2130,frc5453,frc3663,167.42577687002182,0.4875754264221997,BLUE,False,0.26257894360639056
2018tur_qm18,frc364,frc1296,frc6941,157.5864849081493,frc2655,frc5908,frc4603,147.7681261359565,0.4346560825408713,RED,True,0.18892591008977672
2018tur_qm25,frc2478,frc7057,frc4941,151.84345580363828,frc5344,frc4698,frc2122,151.62116283090842,0.4985120727489701,BLUE,False,0.25149014117853435
2018tur_qm51,frc3663,frc5344,frc7287,91.08750718241113,frc6941,frc120,frc5522,135.4866756941094,0.766518184756048,BLUE,True,0.054513758049610915
2018tur_qm52,frc2341,frc2231,frc5453,141.34138293718541,frc364,frc3593,frc4698,151.15996117555636,0.5653453613792118,BLUE,True,0.18892465487456803
2018tur_qm53,frc5045,frc987,frc7179,157.5864849081493,frc4561,frc5584,frc2655,206.56068491274578,0.7877217898693754,BLUE,True,0.045062038496261635
2018tur_qm54,frc842,frc2642,frc1102,243.31085737048568,frc6445,frc6314,frc2471,161.29267541955022,0.10011252539844404,RED,True,0.010022517741654103
2018tur_qm55,frc5468,frc7057,frc3218,110.79587759699655,frc2046,frc3512,frc568,182.3600574028988,0.8717003183033485,BLUE,True,0.016460808323462094
2018tur_qm57,frc2848,frc364,frc5522,175.49886912781918,frc1538,frc2059,frc1744,199.771019769897,0.6569808320953473,BLUE,True,0.11766214955000032
2018tur_qm58,frc7179,frc4698,frc3478,168.05121242158108,frc1533,frc2637,frc4189,182.50157855626986,0.5955356484457242,BLUE,True,0.16359141167822083
2018tur_qm59,frc5417,frc4561,frc1102,204.53230932662362,frc5344,frc120,frc2642,139.82176072793192,0.15025836489095074,RED,True,0.022577576219702095
