Event,Team,DP Rank,Qual Rank,Alliance #,Alliance Pick,Qual DP,Alliance DP,Playoff DP,Awards DP,Total DP,,,,
2018mosl,frc5060,40,41,-1,-1,8,0,0,0,8,,,,
2018mosl,frc4232,41,43,-1,-1,7,0,0,0,7,,,,
2018mosl,frc4600,42,44,-1,-1,7,0,0,0,7,,,,
2018mosl,frc4187,43,46,-1,-1,6,0,0,0,6,,,,
2018mosl,frc5326,44,45,-1,-1,6,0,0,0,6,,,,
2018mosl,frc2408,45,47,-1,-1,5,0,0,0,5,,,,
2018mosl,frc2707,46,48,-1,-1,5,0,0,0,5,,,,
2018mosl,frc5583,47,49,-1,-1,4,0,0,0,4,,,,
2018mxmo,frc3478,1,1,1,1,22,16,30,8,76,1,1,,
2018mxmo,frc3526,2,3,1,2,20,16,30,5,71,3,3,,
2018mxmo,frc3933,3,7,6,1,18,11,20,5,54,7,7,,
2018mxmo,frc5716,4,22,1,3,13,1,30,5,49,22,22,,
2018mxmo,frc3472,5,8,6,2,18,11,20,0,49,,,,
2018mxmo,frc4775,6,10,2,2,17,15,10,5,47,,,,
2018mxmo,frc5948,7,2,2,1,21,15,10,0,46,,,,
2018mxmo,frc3510,8,16,6,3,15,6,20,0,41,,,,
2018mxmo,frc3522,9,6,5,1,19,12,10,0,41,,,,
2018mxmo,frc3354,10,4,3,1,20,14,0,5,39,,,,
2018mxmo,frc6106,11,5,4,1,19,13,0,5,37,,,,
2018mxmo,frc6694,12,18,5,3,14,5,10,5,34,,,,
2018mxmo,frc4635,13,15,3,2,15,14,0,5,34,,,,
2018mxmo,frc6483,14,14,8,2,16,9,0,5,30,,,,
2018mxmo,frc4584,15,12,4,2,16,13,0,0,29,,,,
2018mxmo,frc4731,16,11,7,1,17,10,0,0,27,,,,
2018mxmo,frc4782,17,23,2,3,13,2,10,0,25,,,,
2018mxmo,frc5696,18,13,8,1,16,9,0,0,25,,,,
2018mxmo,frc6647,19,21,3,3,14,3,0,5,22,,,,
2018mxmo,frc4010,20,19,7,3,14,7,0,0,21,,,,
2018mxmo,frc5887,21,38,7,2,9,10,0,0,19,,,,
2018mxmo,frc4401,22,17,4,3,15,4,0,0,19,,,,
2018mxmo,frc7102,23,30,-1,-1,11,0,0,8,19,,,,
2018mxmo,frc6652,24,25,-1,-1,12,0,0,5,17,,,,
2018mxmo,frc6200,25,39,8,3,8,8,0,0,16,,,,
2018mxmo,frc6820,26,20,-1,-1,14,0,0,0,14,,,,
2018mxmo,frc3794,27,24,4,0,13,0,0,0,13,,,,
2018mxmo,frc5133,28,27,-1,-1,12,0,0,0,12,,,,
2018mxmo,frc5932,29,28,-1,-1,12,0,0,0,12,,,,
2018mxmo,frc6507,30,26,-1,-1,12,0,0,0,12,,,,
2018mxmo,frc4746,31,29,-1,-1,11,0,0,0,11,,,,
2018mxmo,frc6156,32,32,-1,-1,11,0,0,0,11,,,,
2018mxmo,frc6170,33,31,-1,-1,11,0,0,0,11,,,,
2018mxmo,frc6965,34,45,-1,-1,6,0,0,5,11,,,,
2018mxmo,frc6010,35,34,-1,-1,10,0,0,0,10,,,,
2018mxmo,frc6017,36,33,-1,-1,10,0,0,0,10,,,,
2018mxmo,frc6666,37,35,-1,-1,10,0,0,0,10,,,,
2018mxmo,frc5874,38,36,-1,-1,9,0,0,0,9,,,,
2018mxmo,frc6983,39,37,-1,-1,9,0,0,0,9,,,,
2018mxmo,frc3158,40,40,-1,-1,8,0,0,0,8,,,,
2018mxmo,frc6218,41,41,-1,-1,8,0,0,0,8,,,,
2018mxmo,frc3527,42,42,-1,-1,7,0,0,0,7,,,,
2018mxmo,frc6407,43,43,-1,-1,7,0,0,0,7,,,,
2018mxmo,frc6605,44,44,-1,-1,6,0,0,0,6,,,,
2018mxmo,frc6319,45,46,-1,-1,5,0,0,0,5,,,,
2018mxmo,frc6676,46,47,-1,-1,5,0,0,0,5,,,,
2018mxmo,frc5344,47,48,-1,-1,4,0,0,0,4,,,,
2018mxto,frc4635,1,1,1,1,22,16,30,8,76,1,1,,
2018mxto,frc2283,2,2,1,2,21,16,30,5,72,2,2,,
2018mxto,frc7018,3,4,3,1,19,14,20,8,61,4,4,,
2018mxto,frc4401,4,9,3,2,17,14,20,5,56,9,,,
2018mxto,frc6647,5,5,4,1,19,13,10,5,47,,,,
2018mxto,frc4603,6,3,2,1,20,15,10,0,45,,,,
2018mxto,frc4400,7,21,2,2,13,15,10,5,43,,,,
2018mxto,frc6702,8,30,1,3,10,1,30,0,41,,30,,
2018mxto,frc3480,9,12,4,2,16,13,10,0,39,,,,
2018mxto,frc3472,10,15,3,3,15,3,20,0,38,,,,
2018mxto,frc5526,11,6,5,1,18,12,0,5,35,,,,
2018mxto,frc3354,12,8,5,2,17,12,0,5,34,,,,
2018mxto,frc6199,13,7,6,1,18,11,0,5,34,,,,
2018mxto,frc6708,14,13,4,3,15,4,10,0,29,,,,
2018mxto,frc6608,15,14,6,3,15,6,0,5,26,,,,
2018mxto,frc4355,16,11,8,1,16,9,0,0,25,,,,
2018mxto,frc3933,17,16,7,2,14,10,0,0,24,,,,
2018mxto,frc4735,18,27,2,3,11,2,10,0,23,,,,
2018mxto,frc4262,19,28,6,2,10,11,0,0,21,,,,
2018mxto,frc5312,20,19,7,3,13,7,0,0,20,,,,
2018mxto,frc5705,21,36,8,2,7,9,0,0,16,,,,
2018mxto,frc6896,22,25,5,3,11,5,0,0,16,,,,
2018mxto,frc4371,23,37,8,3,7,8,0,0,15,,,,
2018mxto,frc6444,24,17,-1,-1,14,0,0,0,14,,,,
2018mxto,frc7217,25,20,-1,-1,13,0,0,0,13,,,,
2018mxto,frc7046,26,34,-1,-1,8,0,0,5,13,,,,
2018mxto,frc4723,27,22,-1,-1,12,0,0,0,12,,,,
2018mxto,frc6604,28,24,-1,-1,12,0,0,0,12,,,,
2018mxto,frc6606,29,23,-1,-1,12,0,0,0,12,,,,
2018mxto,frc5093,30,26,-1,-1,11,0,0,0,11,,,,
2018mxto,frc6017,31,29,-1,-1,10,0,0,0,10,,,,
2018mxto,frc7040,32,33,-1,-1,9,0,0,0,9,,,,
2018mxto,frc7161,33,32,-1,-1,9,0,0,0,9,,,,
2018mxto,frc7299,34,31,-1,-1,9,0,0,0,9,,,,
2018mxto,frc7037,35,41,-1,-1,4,0,0,5,9,,,,
2018mxto,frc6837,36,35,-1,-1,8,0,0,0,8,,,,
2018mxto,frc3794,37,39,-1,-1,6,0,0,0,6,,,,
2018mxto,frc4403,38,38,-1,-1,6,0,0,0,6,,,,
2018mxto,frc6832,39,40,-1,-1,5,0,0,0,5,,,,
2018ndgf,frc5172,1,1,1,1,22,16,30,5,73,1,1,,
2018ndgf,frc4539,2,4,1,2,20,16,30,5,71,4,4,,
2018ndgf,frc525,3,2,2,1,21,15,20,0,56,2,2,,
2018ndgf,frc3750,4,5,2,2,19,15,20,0,54,5,,,
2018ndgf,frc5576,5,3,3,1,20,14,10,5,49,,,,
2018ndgf,frc2491,6,7,5,1,18,12,10,5,45,,,,
2018ndgf,frc7048,7,14,5,2,15,12,10,8,45,,,,
2018ndgf,frc6175,8,27,1,3,12,1,30,0,43,,27,,
2018ndgf,frc3130,9,9,3,2,17,14,10,0,41,,,,
2018ndgf,frc876,10,6,4,1,19,13,0,5,37,,,,
2018ndgf,frc5638,11,24,2,3,13,2,20,0,35,,,,
2018ndgf,frc4818,12,19,5,3,14,5,10,5,34,,,,
2018ndgf,frc2883,13,12,4,2,16,13,0,5,34,,,,
2018ndgf,frc2472,14,15,7,2,15,10,0,5,30,,,,
2018ndgf,frc3313,15,8,6,1,18,11,0,0,29,,,,
2018ndgf,frc4198,16,18,3,3,14,3,10,0,27,,,,
2018ndgf,frc4009,17,10,7,1,17,10,0,0,27,,,,
2018ndgf,frc4181,18,11,8,1,16,9,0,0,25,,,,
2018ndgf,frc3277,19,21,6,2,13,11,0,0,24,,,,
2018ndgf,frc4239,20,13,6,3,16,6,0,0,22,,,,
2018ndgf,frc3883,21,23,7,3,13,7,0,0,20,,,,
2018ndgf,frc3102,22,36,8,3,9,8,0,0,17,,,,
2018ndgf,frc1792,23,26,-1,-1,12,0,0,5,17,,,,
2018ndgf,frc3134,24,28,-1,-1,12,0,0,5,17,,,,
2018ndgf,frc2500,25,38,-1,-1,9,0,0,8,17,,,,
2018ndgf,frc4360,26,30,4,3,11,4,0,0,15,,,,
2018ndgf,frc2823,27,16,8,0,15,0,0,0,15,,,,
2018ndgf,frc6047,28,17,-1,-1,15,0,0,0,15,,,,
2018ndgf,frc5658,29,22,-1,-1,13,0,0,0,13,,,,
2018ndgf,frc3300,30,25,-1,-1,12,0,0,0,12,,,,
2018ndgf,frc7235,31,42,-1,-1,7,0,0,5,12,,,,
2018ndgf,frc3007,32,31,-1,-1,11,0,0,0,11,,,,
2018ndgf,frc6056,33,29,-1,-1,11,0,0,0,11,,,,
2018ndgf,frc2531,34,32,-1,-1,10,0,0,0,10,,,,
2018ndgf,frc3275,35,35,-1,-1,10,0,0,0,10,,,,
2018ndgf,frc3754,36,34,-1,-1,10,0,0,0,10,,,,
2018ndgf,frc7257,37,33,-1,-1,10,0,0,0,10,,,,
2018ndgf,frc5929,38,37,-1,-1,9,0,0,0,9,,,,
2018ndgf,frc2538,39,39,-1,-1,8,0,0,0,8,,,,
2018ndgf,frc3292,40,40,-1,-1,8,0,0,0,8,,,,
2018ndgf,frc6453,41,41,-1,-1,7,0,0,0,7,,,,
2018ndgf,frc3298,42,43,-1,-1,6,0,0,0,6,,,,
2018ndgf,frc4674,43,44,-1,-1,6,0,0,0,6,,,,
2018ndgf,frc1986,44,46,-1,-1,5,0,0,0,5,,,,
2018ndgf,frc877,45,45,-1,-1,5,0,0,0,5,,,,
2018ndgf,frc3367,46,47,-1,-1,4,0,0,0,4,,,,
2018nvlv,frc842,1,3,2,1,20,15,30,5,70,3,3,,
2018nvlv,frc987,2,6,2,2,18,15,30,5,68,6,6,,
2018nvlv,frc399,3,17,4,2,14,13,20,5,52,17,,,
2018nvlv,frc687,4,7,4,1,18,13,20,0,51,7,7,,
2018nvlv,frc2485,5,1,1,1,22,16,0,8,46,,,,
2018nvlv,frc3965,6,28,2,3,11,2,30,0,43,,28,,
2018nvlv,frc3255,7,2,1,2,21,16,0,5,42,,,,
2018nvlv,frc6824,8,13,4,3,16,4,20,0,40,,,,
2018nvlv,frc3009,9,9,6,1,17,11,10,0,38,,,,
2018nvlv,frc5285,10,5,3,2,19,14,0,5,38,,,,
2018nvlv,frc4738,11,11,8,1,16,9,10,0,35,,,,
2018nvlv,frc2710,12,4,3,1,20,14,0,0,34,,,,
2018nvlv,frc2543,13,8,5,1,17,12,0,5,34,,,,
2018nvlv,frc4,14,19,8,3,14,8,10,0,32,,,,
2018nvlv,frc2659,15,16,6,3,15,6,10,0,31,,,,
2018nvlv,frc1160,16,18,7,2,14,10,0,5,29,,,,
2018nvlv,frc3495,17,34,8,2,9,9,10,0,28,,,,
2018nvlv,frc1388,18,10,7,1,17,10,0,0,27,,,,
2018nvlv,frc4486,19,25,5,2,12,12,0,0,24,,,,
2018nvlv,frc5059,20,14,5,3,15,5,0,0,20,,,,
2018nvlv,frc60,21,23,7,3,12,7,0,0,19,,,,
2018nvlv,frc3021,22,12,3,3,16,3,0,0,19,,,,
2018nvlv,frc5851,23,20,-1,-1,13,0,0,5,18,,,,
2018nvlv,frc6957,24,32,-1,-1,10,0,0,8,18,,,,
2018nvlv,frc6411,25,15,1,3,15,1,0,0,16,,,,
2018nvlv,frc5429,26,22,-1,-1,13,0,0,0,13,,,,
2018nvlv,frc7077,27,36,-1,-1,8,0,0,5,13,,,,
2018nvlv,frc6519,28,26,-1,-1,12,0,0,0,12,,,,
2018nvlv,frc988,29,24,-1,-1,12,0,0,0,12,,,,
2018nvlv,frc2647,30,27,-1,-1,11,0,0,0,11,,,,
2018nvlv,frc3577,31,29,-1,-1,11,0,0,0,11,,,,
2018nvlv,frc4501,32,30,-1,-1,10,0,0,0,10,,,,
2018nvlv,frc5025,33,31,-1,-1,10,0,0,0,10,,,,
2018nvlv,frc6821,34,43,-1,-1,5,0,0,5,10,,,,
2018nvlv,frc2429,35,33,-1,-1,9,0,0,0,9,,,,
2018nvlv,frc3011,36,35,-1,-1,9,0,0,0,9,,,,
2018nvlv,frc5875,37,37,-1,-1,8,0,0,0,8,,,,
2018nvlv,frc4792,38,40,-1,-1,7,0,0,0,7,,,,
2018nvlv,frc6826,39,39,-1,-1,7,0,0,0,7,,,,
2018nvlv,frc6825,40,41,-1,-1,6,0,0,0,6,,,,
2018nvlv,frc7183,41,42,-1,-1,5,0,0,0,5,,,,
2018nvlv,frc5049,42,44,-1,-1,4,0,0,0,4,,,,
2018nyli,frc3646,1,1,1,1,22,16,30,0,68,1,1,,
2018nyli,frc469,2,10,1,2,16,16,30,0,62,10,10,,
2018nyli,frc533,3,2,2,1,21,15,20,5,61,2,2,,
2018nyli,frc2638,4,12,2,2,15,15,20,5,55,12,,,
2018nyli,frc2234,5,21,1,3,12,1,30,0,43,,21,,
2018nyli,frc296,6,7,6,1,17,11,10,0,38,,,,
2018nyli,frc5099,7,13,5,2,15,12,10,0,37,,,,
2018nyli,frc6423,8,18,2,3,13,2,20,0,35,,,,
2018nyli,frc3137,9,3,3,1,20,14,0,0,34,,,,
2018nyli,frc2869,10,9,7,2,16,10,0,8,34,,,,
2018nyli,frc514,11,5,3,2,18,14,0,0,32,,,,
2018nyli,frc358,12,4,4,1,19,13,0,0,32,,,,
2018nyli,frc871,13,15,4,2,14,13,0,5,32,,,,
2018nyli,frc2914,14,20,6,3,12,6,10,0,28,,,,
2018nyli,frc5659,15,8,7,1,17,10,0,0,27,,,,
2018nyli,frc271,16,19,8,2,12,9,0,5,26,,,,
2018nyli,frc1468,17,11,8,1,15,9,0,0,24,,,,
2018nyli,frc569,18,31,5,3,7,5,10,0,22,,,,
2018nyli,frc28,19,17,8,3,13,8,0,0,21,,,,
2018nyli,frc6806,20,16,3,3,13,3,0,5,21,,,,
2018nyli,frc709,21,14,-1,-1,14,0,0,5,19,,,,
2018nyli,frc6911,22,24,-1,-1,10,0,0,8,18,,,,
2018nyli,frc1546,23,27,7,3,9,7,0,0,16,,,,
2018nyli,frc2872,24,26,-1,-1,10,0,0,5,15,,,,
2018nyli,frc1803,25,28,4,3,9,4,0,0,13,,,,
2018nyli,frc564,26,30,-1,-1,8,0,0,5,13,,,,
2018nyli,frc6636,27,29,-1,-1,8,0,0,5,13,,,,
2018nyli,frc2027,28,22,-1,-1,11,0,0,0,11,,,,
2018nyli,frc2347,29,23,-1,-1,11,0,0,0,11,,,,
2018nyli,frc2161,30,35,-1,-1,4,0,0,5,9,,,,
2018nyli,frc522,31,32,-1,-1,7,0,0,0,7,,,,
2018nyli,frc352,32,33,-1,-1,6,0,0,0,6,,,,
2018nyli,frc6952,33,34,-1,-1,5,0,0,0,5,,,,
2018nyli2,frc1796,1,1,1,1,22,16,30,5,73,1,1,,
2018nyli2,frc3015,2,4,1,2,20,16,30,0,66,4,4,,
2018nyli2,frc3171,3,2,2,1,21,15,20,5,61,2,2,,
2018nyli2,frc870,4,3,2,2,20,15,20,5,60,3,,,
2018nyli2,frc287,5,5,3,1,19,14,10,5,48,,,,
2018nyli2,frc533,6,19,4,2,14,13,10,5,42,,,,
2018nyli2,frc263,7,8,3,2,17,14,10,0,41,,,,
2018nyli2,frc527,8,6,4,1,18,13,10,0,41,,,,
2018nyli2,frc1468,9,27,2,3,11,2,20,0,33,,,,
2018nyli2,frc2601,10,21,5,2,13,12,0,8,33,,,,
2018nyli2,frc353,11,7,5,1,18,12,0,0,30,,,,
2018nyli2,frc2872,12,16,4,3,15,4,10,0,29,,,,
2018nyli2,frc271,13,9,6,1,17,11,0,0,28,,,,
2018nyli2,frc6806,14,33,6,2,9,11,0,8,28,,,,
2018nyli2,frc329,15,15,8,3,15,8,0,5,28,,,,
2018nyli2,frc2875,16,10,7,1,17,10,0,0,27,,,,
2018nyli2,frc4458,17,22,3,3,13,3,10,0,26,,,,
2018nyli2,frc4050,18,14,6,3,15,6,0,5,26,,,,
2018nyli2,frc601,19,11,8,1,16,9,0,0,25,,,,
2018nyli2,frc369,20,12,7,3,16,7,0,0,23,,,,
2018nyli2,frc1635,21,20,8,2,13,9,0,0,22,,,,
2018nyli2,frc6746,22,13,8,0,16,0,0,5,21,,,,
2018nyli2,frc5736,23,31,7,2,10,10,0,0,20,,,,
2018nyli2,frc2641,24,26,5,3,12,5,0,0,17,,,,
2018nyli2,frc5806,25,25,-1,-1,12,0,0,5,17,,,,
2018nyli2,frc7201,26,29,-1,-1,11,0,0,5,16,,,,
2018nyli2,frc3950,27,32,-1,-1,10,0,0,5,15,,,,
2018nyli2,frc2487,28,17,3,0,14,0,0,0,14,,,,
2018nyli2,frc6422,29,18,-1,-1,14,0,0,0,14,,,,
2018nyli2,frc6232,30,35,-1,-1,9,0,0,5,14,,,,
2018nyli2,frc5599,31,24,-1,-1,12,0,0,0,12,,,,
2018nyli2,frc6636,32,23,-1,-1,12,0,0,0,12,,,,
2018nyli2,frc806,33,28,-1,-1,11,0,0,0,11,,,,
2018nyli2,frc334,34,30,-1,-1,10,0,0,0,10,,,,
2018nyli2,frc1751,35,37,-1,-1,8,0,0,0,8,,,,
2018nyli2,frc4567,36,38,-1,-1,8,0,0,0,8,,,,
2018nyli2,frc545,37,36,-1,-1,8,0,0,0,8,,,,
2018nyli2,frc1601,38,40,-1,-1,7,0,0,0,7,,,,
2018nyli2,frc496,39,39,-1,-1,7,0,0,0,7,,,,
2018nyli2,frc4006,40,41,-1,-1,6,0,0,0,6,,,,
2018nyli2,frc4528,41,43,-1,-1,5,0,0,0,5,,,,
2018nyli2,frc884,42,42,-1,-1,5,0,0,0,5,,,,
2018nyli2,frc1554,43,44,-1,-1,4,0,0,0,4,,,,
2018nyny,frc1796,1,2,1,2,21,16,30,5,72,2,2,,
2018nyny,frc333,2,3,2,1,21,15,20,5,61,3,3,,
2018nyny,frc369,3,12,2,2,16,15,20,5,56,12,,,
2018nyny,frc354,4,5,4,1,19,13,10,5,47,5,,,
2018nyny,frc395,5,11,4,2,17,13,10,5,45,,,,
2018nyny,frc1660,6,16,6,2,15,11,10,5,41,,,,
2018nyny,frc743,7,49,1,3,5,1,30,0,36,,49,,
2018nyny,frc6590,8,20,2,3,14,2,20,0,36,,,,
2018nyny,frc3419,9,6,5,1,19,12,0,5,36,,,,
2018nyny,frc1880,10,4,3,1,20,14,0,0,34,,,,
2018nyny,frc6988,11,33,4,3,11,4,10,8,33,,,,
2018nyny,frc5665,12,22,3,2,14,14,0,5,33,,,,
2018nyny,frc6353,13,8,7,1,18,10,0,5,33,,,,
2018nyny,frc4263,14,14,6,3,16,6,10,0,32,,,,
2018nyny,frc6593,15,7,6,1,18,11,0,0,29,,,,
2018nyny,frc1155,16,13,5,2,16,12,0,0,28,,,,
2018nyny,frc5781,17,15,6,0,16,0,10,0,26,,,,
2018nyny,frc2579,18,9,8,1,17,9,0,0,26,,,,
2018nyny,frc334,19,10,8,2,17,9,0,0,26,,,,
2018nyny,frc2344,20,19,7,2,14,10,0,0,24,,,,
2018nyny,frc5421,21,17,7,3,15,7,0,0,22,,,,
2018nyny,frc5599,22,30,8,3,12,8,0,0,20,,,,
2018nyny,frc5806,23,24,3,3,13,3,0,0,16,,,,
2018nyny,frc1230,24,18,-1,-1,15,0,0,0,15,,,,
2018nyny,frc2265,25,46,-1,-1,7,0,0,8,15,,,,
2018nyny,frc4012,26,21,-1,-1,14,0,0,0,14,,,,
2018nyny,frc3204,27,26,-1,-1,13,0,0,0,13,,,,
2018nyny,frc3760,28,25,-1,-1,13,0,0,0,13,,,,
2018nyny,frc640,29,23,-1,-1,13,0,0,0,13,,,,
2018nyny,frc1600,30,29,-1,-1,12,0,0,0,12,,,,
2018nyny,frc4299,31,28,-1,-1,12,0,0,0,12,,,,
2018nyny,frc5800,32,27,-1,-1,12,0,0,0,12,,,,
2018nyny,frc3004,33,31,-1,-1,11,0,0,0,11,,,,
2018nyny,frc5298,34,34,-1,-1,11,0,0,0,11,,,,
2018nyny,frc4383,35,37,-1,-1,10,0,0,0,10,,,,
2018nyny,frc4640,36,36,-1,-1,10,0,0,0,10,,,,
2018nyny,frc7036,37,35,-1,-1,10,0,0,0,10,,,,
2018nyny,frc2895,38,39,-1,-1,9,0,0,0,9,,,,
2018nyny,frc335,39,40,-1,-1,9,0,0,0,9,,,,
2018nyny,frc5891,40,38,-1,-1,9,0,0,0,9,,,,
2018nyny,frc6416,41,41,-1,-1,9,0,0,0,9,,,,
2018nyny,frc6873,42,51,-1,-1,4,0,0,5,9,,,,
2018nyny,frc371,43,44,-1,-1,8,0,0,0,8,,,,
2018nyny,frc6648,44,43,-1,-1,8,0,0,0,8,,,,
2018nyny,frc7272,45,42,-1,-1,8,0,0,0,8,,,,
2018nyny,frc4773,46,45,-1,-1,7,0,0,0,7,,,,
2018nyny,frc4856,47,47,-1,-1,6,0,0,0,6,,,,
2018nyny,frc7268,48,48,-1,-1,6,0,0,0,6,,,,
2018nyny,frc6195,49,50,-1,-1,4,0,0,0,4,,,,
2018nyro,frc340,1,1,1,1,22,16,30,5,73,1,1,,
2018nyro,frc1507,2,5,1,2,19,16,30,5,70,5,5,,
2018nyro,frc1559,3,2,2,1,21,15,20,0,56,2,2,,
2018nyro,frc5254,4,7,2,2,18,15,20,0,53,7,,,
2018nyro,frc639,5,3,3,1,21,14,10,5,50,,,,
2018nyro,frc3550,6,14,1,3,16,1,30,0,47,,14,,
2018nyro,frc191,7,6,5,1,19,12,10,5,46,,,,
2018nyro,frc578,8,23,2,3,13,2,20,5,40,,,,
2018nyro,frc4361,9,21,5,2,14,12,10,0,36,,,,
2018nyro,frc4930,10,8,6,1,18,11,0,5,34,,,,
2018nyro,frc1511,11,4,4,1,20,13,0,0,33,,,,
2018nyro,frc1551,12,10,4,2,17,13,0,0,30,,,,
2018nyro,frc3951,13,20,5,3,14,5,10,0,29,,,,
2018nyro,frc3003,14,11,7,2,17,10,0,0,27,,,,
2018nyro,frc3838,15,9,7,1,17,10,0,0,27,,,,
2018nyro,frc3986,16,19,8,3,14,8,0,5,27,,,,
2018nyro,frc120,17,28,3,3,12,3,10,0,25,,,,
2018nyro,frc5590,18,12,8,1,16,9,0,0,25,,,,
2018nyro,frc1518,19,16,8,2,15,9,0,0,24,,,,
2018nyro,frc1660,20,15,-1,-1,15,0,0,8,23,,,,
2018nyro,frc1126,21,30,6,2,11,11,0,0,22,,,,
2018nyro,frc378,22,31,7,3,11,7,0,0,18,,,,
2018nyro,frc3799,23,26,6,3,12,6,0,0,18,,,,
2018nyro,frc6868,24,39,-1,-1,9,0,0,8,17,,,,
2018nyro,frc156,25,13,4,0,16,0,0,0,16,,,,
2018nyro,frc5030,26,18,-1,-1,15,0,0,0,15,,,,
2018nyro,frc6870,27,35,-1,-1,10,0,0,5,15,,,,
2018nyro,frc1405,28,37,4,3,10,4,0,0,14,,,,
2018nyro,frc2340,29,22,-1,-1,14,0,0,0,14,,,,
2018nyro,frc174,30,38,-1,-1,9,0,0,5,14,,,,
2018nyro,frc533,31,40,-1,-1,9,0,0,5,14,,,,
2018nyro,frc1450,32,24,-1,-1,13,0,0,0,13,,,,
2018nyro,frc5952,33,25,-1,-1,13,0,0,0,13,,,,
2018nyro,frc3173,34,29,-1,-1,12,0,0,0,12,,,,
2018nyro,frc7251,35,27,-1,-1,12,0,0,0,12,,,,
2018nyro,frc2228,36,45,-1,-1,7,0,0,5,12,,,,
2018nyro,frc4023,37,33,-1,-1,11,0,0,0,11,,,,
2018nyro,frc6892,38,32,-1,-1,11,0,0,0,11,,,,
2018nyro,frc3157,39,36,-1,-1,10,0,0,0,10,,,,
2018nyro,frc5947,40,34,-1,-1,10,0,0,0,10,,,,
2018nyro,frc6414,41,48,-1,-1,5,0,0,5,10,,,,
2018nyro,frc1585,42,42,-1,-1,8,0,0,0,8,,,,
2018nyro,frc6490,43,43,-1,-1,8,0,0,0,8,,,,
2018nyro,frc7033,44,41,-1,-1,8,0,0,0,8,,,,
2018nyro,frc271,45,44,-1,-1,7,0,0,0,7,,,,
2018nyro,frc1591,46,47,-1,-1,6,0,0,0,6,,,,
2018nyro,frc2544,47,46,-1,-1,6,0,0,0,6,,,,
2018nyro,frc3181,48,49,-1,-1,4,0,0,0,4,,,,
2018nyro,frc4093,49,50,-1,-1,4,0,0,0,4,,,,
2018nysu,frc2590,1,1,1,1,22,16,30,5,73,1,1,,
2018nysu,frc694,2,2,2,1,21,15,20,0,56,2,2,,
2018nysu,frc2601,3,13,2,2,15,15,20,5,55,13,,,
2018nysu,frc6880,4,4,3,1,19,14,10,8,51,4,,,
2018nysu,frc354,5,5,3,2,19,14,10,5,48,,,,
2018nysu,frc4122,6,6,4,1,18,13,10,5,46,,,,
2018nysu,frc2875,7,8,4,2,17,13,10,5,45,,,,
2018nysu,frc6401,8,18,1,3,13,1,30,0,44,,18,,
2018nysu,frc6911,9,10,7,1,16,10,0,5,31,,,,
2018nysu,frc6806,10,34,2,3,8,2,20,0,30,,,,
2018nysu,frc7004,11,7,5,1,18,12,0,0,30,,,,
2018nysu,frc395,12,9,6,1,17,11,0,0,28,,,,
2018nysu,frc3419,13,16,8,2,14,9,0,5,28,,,,
2018nysu,frc353,14,14,5,2,15,12,0,0,27,,,,
2018nysu,frc229,15,12,6,2,16,11,0,0,27,,,,
2018nysu,frc369,16,11,8,1,16,9,0,0,25,,,,
2018nysu,frc5865,17,17,7,2,14,10,0,0,24,,,,
2018nysu,frc5202,18,30,4,3,9,4,10,0,23,,,,
2018nysu,frc1155,19,32,8,3,9,8,0,5,22,,,,
2018nysu,frc2869,20,19,7,3,13,7,0,0,20,,,,
2018nysu,frc4091,21,15,6,3,14,6,0,0,20,,,,
2018nysu,frc4707,22,22,3,0,12,0,0,5,17,,,,
2018nysu,frc3950,23,25,5,3,11,5,0,0,16,,,,
2018nysu,frc329,24,37,-1,-1,6,0,0,8,14,,,,
2018nysu,frc2579,25,20,7,0,13,0,0,0,13,,,,
2018nysu,frc5943,26,23,-1,-1,12,0,0,0,12,,,,
2018nysu,frc6601,27,24,-1,-1,12,0,0,0,12,,,,
2018nysu,frc7318,28,21,4,0,12,0,0,0,12,,,,
2018nysu,frc4571,29,35,-1,-1,7,0,0,5,12,,,,
2018nysu,frc2265,30,26,-1,-1,11,0,0,0,11,,,,
2018nysu,frc5123,31,27,-1,-1,11,0,0,0,11,,,,
2018nysu,frc1880,32,29,-1,-1,10,0,0,0,10,,,,
2018nysu,frc7016,33,28,-1,-1,10,0,0,0,10,,,,
2018nysu,frc6969,34,31,-1,-1,9,0,0,0,9,,,,
2018nysu,frc3017,35,33,-1,-1,8,0,0,0,8,,,,
2018nysu,frc806,36,38,-1,-1,6,0,0,0,6,,,,
2018nysu,frc6982,37,39,-1,-1,5,0,0,0,5,,,,
2018nysu,frc5298,38,40,-1,-1,4,0,0,0,4,,,,
2018nytr,frc1493,1,2,2,1,21,15,30,0,66,2,2,,
2018nytr,frc2791,2,1,1,1,22,16,20,5,63,1,1,,
2018nytr,frc20,3,6,1,2,18,16,20,0,54,6,,,
2018nytr,frc4458,4,19,2,3,12,2,30,5,49,19,19,,
2018nytr,frc3990,5,3,3,1,20,14,10,5,49,,,,
2018nytr,frc3996,6,8,3,2,17,14,10,5,46,,,,
2018nytr,frc3117,7,5,5,1,18,12,10,5,45,,,,
2018nytr,frc3360,8,11,5,2,15,12,10,5,42,,,,
2018nytr,frc3624,9,22,1,3,11,1,20,5,37,,,,
2018nytr,frc3044,10,4,4,1,19,13,0,5,37,,,,
2018nytr,frc333,11,9,6,2,16,11,0,5,32,,,,
