Team,2011,2012,2013,2014,2015,2016,2017,2018,Avg
frc1000,15.019961842807978,,,,,,,,15
frc1014,35.58007354566808,63.65016616993218,28.316321506933075,39.64285010970631,45.55234329376191,52.9392097738314,29.0,32.62532695364028,34.105475718541186
frc1023,131.18526883147496,108.48741324798173,65.44098361620213,119.21549925271962,109.68603846416617,110.52877989444642,96.8921815141772,75.36053174621347,85.21119986871688
frc1065,40.87399452305122,75.71538142071236,69.55965935398777,54.17035418717632,60.94164846057336,62.9382831096335,62.0,43.09005446707207,50.16553477083925
frc108,34.102700249654184,27.08517709358816,42.47448226039961,56.0170708071937,22.9877676158897,16.00487737348391,31.052024803721974,29.40490139030172,28.785812200820914
frc1138,48.75631357241122,54.17035418717632,43.93629778198273,51.166321467625465,22.160599440208493,31.39418254029537,41.2433378470547,25.238460473570786,29.899543485874254
frc118,100.34043670298836,106.02437382740236,121.86361194743603,110.7988810119101,97.99107602489725,117.69539138953243,121.86361194743603,127.77490655682656,124.20952088048044
frc1182,49.122662092462164,27.0,14.0,,,,,,0.14389020685675202
frc1270,16.62044958015637,36.61358148498561,20.92945502686358,,,,,,0.1715417754186368
frc131,70.79080376733269,60.3260762539009,68.20540049930837,78.2789102887857,25.238460473570786,59.71050404722844,56.536227930837846,44.93677108708945,48.86275319930651
frc1323,66.08983189568289,78.32525659446289,77.67640831498213,68.31445456818835,21.875456279636975,85.64797289146001,107.3380439483882,130.04773373021473,116.09743887095752
frc1477,79.43756793071562,107.99480536386586,110.72325868604955,103.35226166014925,70.25346285775696,85.56220017951198,108.5253061621445,98.52157682317588,98.90158579821997
frc1482,34.84138689766113,14.0,,27.700749300260618,29.0,24.007316060225868,36.811217959013,17.851593993501286,23.245953373666993
frc1510,86.11143594823199,48.014632120451736,11.695871926776706,31.978950917265916,42.59085536108581,62.91388908361304,16.62044958015637,47.96842637589887,41.40814339231712
frc1518,36.56498907634401,12.0,6.0,11.0,12.0,13.0,14.0,22.160599440208493,18.882718723560785
frc1535,17.23602178682883,19.69831061351866,,,,,,,15
frc1547,33.740110532999395,25.854032680243243,35.08761578033012,19.082738406846204,22.895075004535308,14.773732960138997,26.4696048869157,,8.72468054578619
frc155,61.08443088254562,18.0,44.77053128417228,64.4213648913038,36.98348422285371,54.18686725274674,43.09005446707207,59.7867343235841,54.53554157331944
frc1622,51.35170669033425,48.654501784983786,70.63239199938455,31.978950917265916,52.822722342887374,40.39384649750211,56.23308461753577,72.299680222546,64.51445563921236
frc1629,75.26640041976789,79.53026054207001,73.78331863809758,78.1398713717541,73.22716296997122,118.7563929860897,91.7008522738791,135.5050610460296,120.55843866379585
