2019abca,frc2122,frc3250,frc4334,frc1622,frc4774,frc2130,frc4191,frc4010,frc4627,frc5015,frc3216,frc5078,frc6200,frc6351,frc1482,frc5118,frc4733,frc7173,frc6188,frc6458,frc5725,frc6841,frc7277,frc4604,frc3527,frc3729,frc6701,frc6178,frc6948,frc6041,frc4625,frc6700,frc7246,frc6179,frc7205,frc5597,frc7591,frc7706,frc7799,frc7843,frc7889,
2019casd,frc987,frc1538,frc2485,frc4481,frc1622,frc3128,frc1572,frc812,frc2443,frc498,frc3647,frc2839,frc4486,frc4322,frc2637,frc3965,frc3245,frc3328,frc1266,frc2658,frc2465,frc2984,frc4585,frc5933,frc3749,frc3021,frc2710,frc5627,frc6668,frc6885,frc5477,frc6695,frc4014,frc3341,frc4160,frc4141,frc2853,frc6659,frc2827,frc4616,frc5025,frc6755,frc4139,frc4919,frc3952,frc4583,frc5514,frc6995,frc6904,frc3704,frc6960,frc7249,frc7415,frc7441,frc7626,
2019mnmi,frc5172,frc2052,frc4607,frc2502,frc2987,frc4198,frc3184,frc2181,frc2509,frc2846,frc3630,frc2500,frc3244,frc2823,frc5434,frc2501,frc4536,frc3026,frc5913,frc3102,frc5464,frc3038,frc3871,frc4207,frc2825,frc5232,frc3299,frc2530,frc7028,frc6709,frc3007,frc5133,frc2498,frc3055,frc2879,frc3058,frc4549,frc7068,frc2470,frc3023,frc3745,frc3298,frc2508,frc2518,frc5637,frc4664,frc3751,frc2532,frc5996,frc2529,frc5541,frc3202,frc4229,frc2232,frc2513,frc3407,frc7038,frc3454,frc2515,frc2855,frc2480,frc7180,frc7850,
2019nyut,frc125,frc195,frc2590,frc694,frc2791,frc3624,frc3646,frc3044,frc639,frc810,frc3171,frc287,frc329,frc5030,frc229,frc4930,frc4458,frc395,frc527,frc145,frc2053,frc5736,frc1665,frc6300,frc6422,frc6621,frc4203,frc5585,frc7672,
2019alhu,frc27,frc16,frc456,frc4265,frc234,frc3959,frc364,frc4451,frc4013,frc2783,frc1421,frc3792,frc342,frc4533,frc63,frc2556,frc4965,frc6647,frc1319,frc1466,frc5045,frc6366,frc5410,frc34,frc3814,frc4924,frc6404,frc2183,frc7072,frc4306,frc2815,frc7111,frc4740,frc2973,frc547,frc3319,frc538,frc3139,frc6145,frc5858,frc5005,frc442,frc6107,frc5058,frc3843,frc6157,frc5616,frc4764,frc6937,frc7313,frc7428,frc7446,frc7484,frc7512,frc7525,frc7693,
2019casf,frc254,frc971,frc604,frc3880,frc5499,frc649,frc115,frc5700,frc6418,frc4904,frc4159,frc668,frc4990,frc5924,frc5940,frc5507,frc100,frc972,frc2144,frc2551,frc6036,frc1700,frc3390,frc6814,frc4765,frc3045,frc6662,frc5419,frc4973,frc4669,frc4186,frc253,frc6920,frc6718,frc7245,frc6962,frc840,frc7419,frc7445,frc7468,frc7478,frc7686,frc7847,
2019mnmi2,frc3130,frc1816,frc2175,frc2491,frc3883,frc2177,frc3042,frc2227,frc2472,frc2883,frc4174,frc3313,frc6803,frc3633,frc5278,frc3100,frc2549,frc2225,frc2143,frc2574,frc3926,frc3082,frc6487,frc2989,frc4506,frc3206,frc3018,frc5826,frc2129,frc2538,frc2239,frc5993,frc4778,frc3848,frc2450,frc2606,frc4648,frc2207,frc4215,frc5626,frc5275,frc4277,frc4663,frc4665,frc3122,frc5340,frc3610,frc4632,frc2525,frc2654,frc6749,frc7258,frc6912,frc7273,frc4225,frc7405,frc7849,frc7858,frc7875,frc7892,
2019ohcl,frc4028,frc379,frc5254,frc1507,frc5413,frc4145,frc2783,frc2252,frc578,frc48,frc5030,frc3260,frc1126,frc1559,frc3003,frc120,frc1014,frc1405,frc4121,frc2399,frc4611,frc4085,frc2641,frc4521,frc1248,frc2010,frc3138,frc378,frc3484,frc2228,frc6355,frc6027,frc1518,frc2172,frc6936,frc6964,frc2340,frc3193,frc3266,frc4601,frc3157,frc1590,frc5973,frc695,frc2603,frc451,frc3591,frc5418,frc6870,frc6916,frc4780,frc5667,frc4119,frc7043,frc7055,frc2632,frc6181,frc7881,frc7885,
2019arli,frc3937,frc1939,frc2992,frc1723,frc5006,frc5437,frc5526,frc3616,frc6055,frc2080,frc1982,frc4087,frc3039,frc4603,frc6886,frc3337,frc3011,frc4576,frc2164,frc323,frc6404,frc5809,frc6131,frc7123,frc5454,frc2221,frc7106,frc6640,frc5002,frc2357,frc5568,frc3946,frc7255,frc5729,frc6107,frc6186,frc6855,frc6586,frc6492,frc7263,frc7260,frc6840,frc7075,frc7430,frc7459,frc7467,frc7483,frc7568,frc7655,frc7702,frc7766,frc7767,frc7798,frc7804,frc7842,frc7846,frc7868,frc7878,frc7896,frc7908,
2019casj,frc254,frc2220,frc846,frc604,frc192,frc1868,frc649,frc5026,frc8,frc670,frc6418,frc199,frc5831,frc4159,frc2854,frc668,frc4990,frc2035,frc2367,frc2473,frc3482,frc1458,frc5849,frc972,frc2135,frc6036,frc6970,frc2489,frc751,frc4255,frc6619,frc1967,frc6238,frc5737,frc2813,frc1351,frc5171,frc4973,frc4171,frc581,frc4669,frc841,frc4186,frc6039,frc6665,frc766,frc5773,frc6059,frc299,frc256,frc7245,frc5027,frc7308,frc840,frc6241,frc7419,frc7445,frc7528,frc7667,frc7736,
2019mokc,frc1986,frc3284,frc1806,frc1730,frc1723,frc2352,frc2410,frc1775,frc1982,frc1108,frc5801,frc2723,frc1810,frc1764,frc2335,frc5098,frc1763,frc5809,frc1984,frc5918,frc1769,frc5082,frc1785,frc4809,frc5268,frc5968,frc2353,frc6542,frc2357,frc1777,frc6805,frc1847,frc5189,frc1802,frc937,frc7064,
