Team,2011,2012,2013,2014,2015,2016,2017,2018,Avg
frc1000,15.019961842807978,,,,,,,,0.0032974036460835703
frc1014,35.58007354566808,26.715833769584684,25.238460473570786,11.942100809445687,30.16303812695045,52.9392097738314,29.0,32.62532695364028,17.73965011861509
frc1023,72.07232273756942,75.71004249719438,28.363939074444552,76.75429641936924,82.13487632038921,81.35696115397668,57.483550784906846,72.11921855282795,37.34220199943677
frc1065,28.56255038960206,60.3260762539009,44.93677108708945,41.85891005372716,36.31876019367503,53.6690219741941,42.0,43.09005446707207,23.30508249416522
frc108,34.102700249654184,27.08517709358816,42.47448226039961,52.9392097738314,22.9877676158897,16.00487737348391,31.052024803721974,29.40490139030172,15.433934038350582
frc1138,18.631214882233188,54.17035418717632,39.301667214263034,41.89706033218607,22.160599440208493,31.39418254029537,28.931893713605536,22.160599440208493,13.240545463384187
frc118,71.9207510809184,90.86720816229837,97.23321774164205,95.64171534680612,75.25532752724126,91.17035147560044,95.33857203350404,101.6287957845222,52.79181866409662
frc1182,33.7333569256507,27.0,14.0,,,,,,0.049644745086941104
frc1270,16.62044958015637,31.978950917265916,14.773732960138997,,,,,,0.05041627915075228
frc131,43.09005446707207,60.3260762539009,31.271068098960875,66.69233386948645,25.238460473570786,47.39905991377928,48.95764509828586,44.93677108708945,24.472762991437676
frc1323,47.5513096248041,52.834788472004554,49.868624908663946,54.87402592180123,21.875456279636975,76.37871175602062,75.35909303112228,100.38609809680865,48.1817367413121
frc1477,60.89904565983683,79.5751197417959,84.79275313896535,66.27521711839168,38.044485819410994,51.45857743302802,76.31632912379855,52.67115068623634,30.973950348064655
frc1482,34.84138689766113,14.0,,27.700749300260618,29.0,20.92945502686358,36.811217959013,17.851593993501286,12.187213271606524
frc1510,58.3036525419138,48.014632120451736,11.695871926776706,31.978950917265916,34.48757237762199,27.259443956372266,13.54258854679408,38.69916524045948,17.048258858835982
frc1518,36.56498907634401,12.0,6.0,11.0,12.0,8.0,14.0,22.160599440208493,10.036543833371473
frc1535,17.23602178682883,19.69831061351866,,,,,,,0.01617884372337472
frc1547,29.105479965279702,19.69831061351866,32.00975474696782,12.927016340121622,17.79698138004364,14.773732960138997,26.4696048869157,,4.256430085067337
