Team,# Events,Adj Qual DP,Adj Alliance DP,Adj Playoff DP,Adj Awards DP,Best Alliance,Best Playoff,Adj DP,Adj DP w/Awards
frc3357,5,35.68361694598124,26.465322223992814,51.634119170631415,8.281555209100016,45,90,113.78305834060549,122.06461354970551
frc1678,4,35.0130526863902,25.00932334742157,47.74507184507755,9.85215768231759,16,30,107.7674478788893,117.61960556120688
frc2767,4,35.930061209128986,25.676238636686143,48.99553801244863,5.892348152309173,48,90,110.60183785826375,116.49418601057293
frc195,4,35.55113206750139,25.75202446501167,48.99553801244863,5.892348152309173,48,90,110.29869454496169,116.19104269727086
frc1241,5,36.244364128436935,27.538196891003416,44.79494833258795,6.48262638677105,48,60,108.57750935202831,115.06013573879936
frc2056,4,35.930061209128986,26.130953606639263,45.206246596172626,7.786993860447171,48,90,107.26726141194086,115.05425527238805
frc4003,4,32.66369200829908,24.380300972319755,48.99553801244863,7.9575119741795906,42,90,106.03953099306747,113.99704296724705
frc2590,5,35.92023280909839,26.76028172459089,44.50323014518326,6.660898612407254,48,90,107.18374467887256,113.84464329127981
frc1619,4,33.26997863490324,25.00932334742157,43.955780428801546,9.85215768231759,16,30,102.23508241112636,112.08724009344395
frc3707,4,33.614804153784355,24.573554834549828,45.206246596172626,8.16592300207477,45,90,103.39460558450682,111.56052858658158
frc118,4,33.34576446322876,25.085109175747093,43.19792214554635,7.9575119741795906,16,30,101.6287957845222,109.58630775870178
frc225,5,36.10174634792798,27.214065571664865,40.61365431312063,4.8619697900782874,48,90,103.92946623271348,108.79143602279177
frc1533,4,31.079768196295714,22.569019675339828,48.99553801244863,5.892348152309173,48,90,102.64432588408417,108.53667403639334
frc254,3,32.62779919674668,23.729308506724855,44.4924534501091,7.415408908351517,16,30,100.84956115358064,108.26497006193215
frc1323,3,32.16433613997471,23.729308506724855,44.4924534501091,7.415408908351517,16,30,100.38609809680867,107.80150700516018
frc3538,5,34.66908591645157,26.50097666912005,37.6640593071398,6.660898612407254,48,60,98.83412189271142,105.49502050511869
frc319,5,32.938224671183704,25.723061502707527,40.61365431312063,6.012635973730149,48,90,99.27494048701188,105.28757646074203
frc4917,4,31.10629323620965,20.784263418273834,48.99553801244863,3.9977024441711757,45,90,100.88609466693211,104.88379711110328
frc1574,4,32.04982679886237,24.387879555152306,41.41695517989663,7.029135577191972,48,90,97.85466153391131,104.88379711110328
