Team,# Events,Adj Qual DP,Adj Alliance DP,Adj Playoff DP,Adj Awards DP,Best Alliance,Best Playoff,Adj DP,Adj DP w/Awards
frc3538,5,36.01423089170657,26.37132414138463,51.634119170631415,6.660898612407254,17.759999999999998,36.0,114.01967420372262,120.68057281612988
frc2046,5,36.30919039230465,27.538196891003416,45.15149278386036,8.281555209100016,19.2,36.0,108.99888006716844,117.28043527626846
frc148,4,35.930061209128986,25.676238636686143,48.99553801244863,6.062866266041593,18.0,36.0,110.60183785826375,116.66470412430535
frc1678,4,34.17940857480948,24.55460837746845,47.74507184507755,9.85215768231759,16.8,36.0,106.47908879735547,116.33124647967306
frc195,5,32.40664930746848,26.37132414138463,44.438403881315544,10.404615350767536,17.759999999999998,36.0,103.21637733016867,113.62099268093621
frc3310,4,33.45565391430076,26.130953606639263,48.99553801244863,3.7892914162759954,19.2,36.0,108.58214553338865,112.37143694966464
frc33,5,34.51674419636245,27.149239307797153,43.854967506506156,6.660898612407254,18.0,33.3,105.52095101066578,112.18184962307303
frc2910,5,35.2006612801668,27.149239307797153,39.965391674443524,8.60568652843857,18.0,33.3,102.31529226240748,110.92097879084605
frc2056,4,35.47534623917587,26.130953606639263,39.901238613386234,7.786993860447171,19.2,33.3,101.50753845920136,109.29453231964854
frc1323,3,32.62779919674668,23.729308506724855,44.4924534501091,7.415408908351517,19.2,36.0,100.84956115358064,108.26497006193215
frc1114,4,35.930061209128986,26.130953606639263,39.901238613386234,5.892348152309173,19.2,33.3,101.96225342915447,107.85460158146365
frc971,3,32.16433613997471,23.729308506724855,44.4924534501091,7.415408908351517,19.2,36.0,100.38609809680867,107.80150700516018
frc254,3,31.700873083202737,23.265845449952884,44.4924534501091,7.415408908351517,19.2,36.0,99.45917198326472,106.87458089161625
frc1796,4,31.602690411741804,25.085109175747093,43.19792214554635,6.820724549296792,19.2,30,99.88572173303524,106.70644628233204
frc133,5,34.652879350484646,25.716578876320757,41.19709068793002,4.8619697900782874,16.8,36.0,101.56654891473545,106.42851870481373
frc3707,4,33.53143974262628,25.676238636686143,40.58331106831591,5.892348152309173,18.0,36.0,99.79098944762835,105.68333759993753
frc3683,4,33.8762652615074,25.221523666733027,39.901238613386234,5.892348152309173,17.759999999999998,33.3,98.99902754162665,104.89137569393583
frc2168,5,31.340257266844638,25.687407057580284,39.965391674443524,6.660898612407254,16.65,33.3,96.99305599886846,103.65395461127572
frc2468,4,32.402230900576036,24.87669814785191,36.03616136878472,10.185615326949875,18.0,30,93.31509041721266,103.50070574416253
frc118,5,36.69814797551091,26.789453543331366,36.659252217190286,3.241313193385525,18.0,30,100.14685373603258,103.3881669294181
frc5406,4,32.92515311602212,23.512553237992552,41.00013312410627,5.892348152309173,16.65,36.0,97.43783947812094,103.33018763043012
frc125,6,32.3581562423748,25.804930630601305,32.89451079832317,11.155033583819915,16.8,33.3,91.05759767129928,102.2126312551192
frc2767,4,34.70990937308812,25.255627289479513,33.08051406408944,8.16592300207477,18.0,33.3,93.04605072665707,101.21197372873185
frc78,5,34.56860520745663,25.321138666727723,33.06139457253236,7.455020344786707,16.8,30,92.9511384467167,100.40615879150342
frc5687,5,35.265487544034514,25.651752612453045,32.76967638512765,6.660898612407254,16,30,93.68691654161522,100.34781515402247
frc3847,4,29.76867336626422,24.456086800645274,41.00013312410627,4.926078841158795,18.0,36.0,95.22489329101577,100.15097213217456
