Team,# Events,Adj Qual DP,Adj Alliance DP,Adj Playoff DP,Adj Awards DP,Best Alliance,Best Playoff,Adj DP,Adj DP w/Awards
frc3357,4,32.622009802720044,24.118839864596712,46.721963162683025,9.681639568585169,16.65,33.3,103.46281282999979,113.14445239858496
frc2590,4,34.26277298596755,24.918380353430944,42.93267174640703,7.786993860447171,17.759999999999998,33.3,102.11382508580553,109.9008189462527
frc225,4,32.20139845551341,24.539451211803343,42.93267174640703,5.683937124413993,17.759999999999998,33.3,99.67352141372379,105.35745853813778
frc319,4,31.231339852946757,24.160522070175748,42.93267174640703,7.029135577191972,17.759999999999998,33.3,98.32453366952953,105.35366924672151
frc2767,3,31.710142344338173,23.061921704973216,43.24110319682478,7.206850532804131,17.759999999999998,33.3,98.01316724613618,105.22001777894032
frc195,3,31.246679287566206,22.598458648201248,43.24110319682478,7.206850532804131,17.759999999999998,33.3,97.08624113259224,104.29309166539637
frc2046,4,31.56858678899532,24.118839864596712,38.726558274340675,9.681639568585169,16.65,30,94.41398492793272,104.09562449651789
frc1678,3,30.588561746950006,22.24622672505455,41.711675109477284,9.269261135439397,16,30,94.54646358148183,103.81572471692122
frc1241,4,32.36812727782956,24.918380353430944,38.726558274340675,7.578582832551991,17.759999999999998,30,96.01306590560117,103.59164873815315
frc25,4,32.36812727782956,24.497769006224313,42.51584969061667,3.7892914162759954,16.65,30,99.38174597467052,103.17103739094652
frc2056,3,31.710142344338173,23.061921704973216,38.606472629105085,9.524165816663979,17.759999999999998,33.3,93.37853667841648,102.90270249508046
frc1796,3,29.198172576634096,22.24622672505455,41.711675109477284,9.269261135439397,16,30,93.15607441116593,102.42533554660533
frc1577,3,31.246679287566206,23.061921704973216,43.24110319682478,4.634630567719698,17.759999999999998,33.3,97.5497041893642,102.1843347570839
frc2481,3,28.73470951986213,22.24622672505455,41.711675109477284,9.269261135439397,16,30,92.69261135439396,101.96187248983335
frc2471,3,27.79851414518275,23.061921704973216,43.24110319682478,7.206850532804131,17.759999999999998,33.3,94.10153904698075,101.30838957978489
frc4003,3,28.827402131216523,22.033033718939443,43.24110319682478,6.951945851579547,16,33.3,94.10153904698075,101.0534848985603
frc1533,3,28.002437890162415,22.598458648201248,43.24110319682478,7.206850532804131,17.759999999999998,33.3,93.84199973518845,101.04885026799258
frc118,3,29.661635633406068,21.78276366828258,41.711675109477284,6.951945851579547,16,30,93.15607441116593,100.10802026274547
frc4917,3,29.703347308515546,22.08401465518436,43.24110319682478,4.889535248944282,16.65,33.3,95.02846516052469,99.91800040946897
frc302,4,29.169965322492615,22.561441092507277,38.30973621855031,9.47322854068999,16,30,90.04114263355021,99.5143711742402
frc67,4,32.284762866671485,23.73991072296911,39.14338033013103,3.7892914162759954,16.65,33.3,95.16805391977161,98.95734533604761
frc1619,3,30.12509869017804,22.24622672505455,37.07704454175759,9.269261135439397,16,30,89.44836995699016,98.71763109242956
frc2451,3,25.49046812245834,21.78276366828258,41.711675109477284,9.269261135439397,16,30,88.98490690021819,98.25416803565759
frc125,5,32.37099486234124,24.48487986283425,29.52836319174213,11.701140628121745,16,30,86.38423791691763,98.08537854503939
frc3538,4,30.981246619472536,24.160522070175748,34.93726685806468,7.786993860447171,17.759999999999998,30,90.07903554771295,97.86602940816013
frc1325,4,29.96950581132685,23.781592928548147,35.35408891385504,8.71537025743479,17.759999999999998,33.3,89.10518765373003,97.82055791116481
frc5406,3,29.80530918100538,21.62055159841239,38.606472629105085,7.206850532804131,16.65,33.3,90.03233340852285,97.23918394132698
frc1425,3,31.710142344338173,22.54747771195633,38.096663266655916,4.634630567719698,16.65,30,92.35428332295041,96.9889138906701
frc359,3,27.807783406318187,22.24622672505455,41.711675109477284,4.634630567719698,16,30,91.76568524085002,96.40031580856972
frc2122,3,30.588561746950006,21.78276366828258,37.07704454175759,6.951945851579547,16,30,89.44836995699016,96.40031580856972
frc3452,3,28.41492001068947,22.08401465518436,38.606472629105085,7.206850532804131,16.65,33.3,89.1054072949789,96.31225782778304
frc4910,3,29.65236637227063,21.518589725922556,32.95222333648705,11.84148110052383,16,30,84.12317943468022,95.96466053520406
frc3707,3,28.87838306746144,21.15708854164042,38.606472629105085,7.206850532804131,16.65,33.3,88.64194423820693,95.84879477101107
frc1648,4,26.475779125520383,22.265876362037748,39.14338033013103,7.786993860447171,17.759999999999998,33.3,87.88503581768916,95.67202967813634
frc2337,4,30.852410711319155,23.023734645292947,31.147975441788684,9.681639568585169,17.759999999999998,30,85.02412079840079,94.70576036698596
frc1574,3,29.18890331549866,22.598458648201248,33.97184206138539,8.59723970312004,17.759999999999998,33.3,85.7592040250853,94.35644372820533
frc1360,3,29.65236637227063,22.033033718939443,32.95222333648705,9.524165816663979,16,30,84.63762342769712,94.1617892443611
frc33,4,29.96950581132685,23.698228517390074,30.314331330207963,9.681639568585169,16,30,83.98206565892488,93.66370522751005
frc4253,3,30.12509869017804,21.78276366828258,32.44241397403788,9.269261135439397,16,30,84.3502763324985,93.61953746793789
frc5687,4,30.72736409458205,22.857005822976806,34.10362274648396,5.683937124413993,16,30,87.68799266404281,93.3719297884568
frc303,4,31.443540172258214,21.636853986935936,34.10362274648396,5.683937124413993,16,30,87.1840169056781,92.8679540300921
frc230,4,31.064611030630612,23.27761717018344,30.731153385998322,7.786993860447171,16,30,85.07338158681237,92.86037544725954
frc5883,2,26.4696048869157,19.69831061351866,36.934332400347486,9.233583100086872,16,30,83.10224790078185,92.33583100086872
frc2642,3,27.284070152165864,21.106107605395504,32.95222333648705,10.914554986979889,16,30,81.34240109404841,92.2569560810283
frc2059,4,29.08660091133454,22.898688028555842,34.52044480227432,5.683937124413993,16,30,86.5057337421647,92.1896708665787
frc217,4,32.24308066109245,24.539451211803343,31.564797497579043,3.7892914162759954,17.759999999999998,33.3,88.34732937047482,92.13662078675083
frc5190,3,30.217791301532433,23.061921704973216,33.97184206138539,4.634630567719698,17.759999999999998,33.3,87.25155506789102,91.88618563561073
frc1918,3,29.703347308515546,21.518589725922556,32.95222333648705,7.206850532804131,16,30,84.17416037092515,91.38101090372929
frc2557,3,28.465900946934386,21.20806947788534,29.337211493665688,12.096385781748413,17.759999999999998,33.3,79.01118191848542,91.10756770023383
frc5803,4,31.864151519464848,22.857005822976806,30.314331330207963,5.683937124413993,16,30,85.0354886726496,90.71942579706361
frc4561,3,27.645571336447997,22.08401465518436,33.46203269893622,7.206850532804131,16.65,30,83.19161869056857,90.39846922337271
frc133,3,30.681254358304404,22.033033718939443,32.95222333648705,4.634630567719698,16,30,85.6665114137309,90.3011419814506
frc3641,4,28.033177897609818,23.360981581341512,31.147975441788684,7.578582832551991,16.65,30,82.54213492074,90.120717753292
frc1885,3,25.379236988833064,18.53388764031107,33.97184206138539,12.096385781748413,16,33.3,77.88496669052952,89.98135247227793
frc3310,2,27.085177093588158,19.69831061351866,36.934332400347486,6.155722066724581,16,30,83.71782010745432,89.8735421741789
frc254,2,27.085177093588158,19.69831061351866,36.934332400347486,6.155722066724581,16,30,83.71782010745432,89.8735421741789
frc1259,2,27.085177093588158,19.69831061351866,36.934332400347486,6.155722066724581,16,30,83.71782010745432,89.8735421741789
frc1305,3,28.827402131216523,22.033033718939443,27.807783406318187,10.914554986979889,16,30,78.66821925647416,89.58277424345405
frc16,2,26.4696048869157,19.69831061351866,36.934332400347486,6.155722066724581,16,30,83.10224790078185,89.25796996750644
frc1323,2,26.4696048869157,19.69831061351866,36.934332400347486,6.155722066724581,16,30,83.10224790078185,89.25796996750644
frc2811,4,25.384463197632897,21.5951717813569,30.314331330207963,11.576285276723167,16,30,77.29396630919776,88.87025158592093
frc4539,2,25.854032680243243,19.69831061351866,36.934332400347486,6.155722066724581,16,30,82.4866756941094,88.64239776083397
frc494,3,27.284070152165864,23.061921704973216,33.46203269893622,4.634630567719698,17.759999999999998,30,83.80802455607528,88.44265512379498
frc1629,3,29.754328244760462,23.061921704973216,23.17315283859849,12.096385781748413,17.759999999999998,30,75.98940278833217,88.08578857008058
frc1640,4,26.39241471436231,22.603123298086313,31.147975441788684,7.786993860447171,16.65,30,80.14351345423731,87.93050731468448
frc1114,3,28.827402131216523,23.061921704973216,28.827402131216523,7.206850532804131,17.759999999999998,30,80.71672596740626,87.9235765002104
frc238,4,28.540942947390796,19.071503698117084,34.52044480227432,5.683937124413993,16,30,82.1328914477822,87.81682857219619
frc624,3,27.807783406318187,20.39237449796667,32.44241397403788,6.951945851579547,16,30,80.64257187832274,87.5945177299023
frc868,4,28.32874262807934,18.476584945761754,35.35408891385504,5.134489869053974,17.759999999999998,33.3,82.15941648769613,87.29390635675011
frc177,3,29.80530918100538,21.62055159841239,33.46203269893622,2.317315283859849,16.65,30,84.887893478354,87.20520876221384
frc330,2,24.007316060225868,19.69831061351866,36.934332400347486,6.155722066724581,16,30,80.63995907409202,86.7956811408166
frc842,2,24.622888266898325,19.082738406846204,36.934332400347486,6.155722066724581,16,30,80.63995907409202,86.7956811408166
frc3098,3,28.72544025872669,21.106107605395504,29.337211493665688,7.206850532804131,16,33.3,79.16875935778788,86.375609890592
frc2614,3,26.41739423600228,20.39237449796667,32.44241397403788,6.951945851579547,16,30,79.25218270800683,86.20412855958638
frc179,2,27.085177093588158,19.082738406846204,36.934332400347486,3.0778610333622907,16,30,83.10224790078185,86.18010893414414
frc176,3,25.944661918094873,22.08401465518436,33.46203269893622,4.634630567719698,16.65,30,81.49070927221544,86.12533983993514
frc1747,4,28.95776500318116,23.40266378692055,23.98621466502705,9.681639568585169,17.759999999999998,33.3,76.34664345512876,86.02828302371394
frc4362,4,26.85470826714798,22.265876362037748,34.93726685806468,1.8946457081379977,17.759999999999998,30,84.0578514872504,85.9524971953884
frc4513,3,27.79851414518275,20.489701739888787,32.95222333648705,4.634630567719698,16,30,81.24043922155857,85.87506978927827
frc340,2,25.854032680243243,19.69831061351866,36.934332400347486,3.0778610333622907,16,30,82.4866756941094,85.56453672747169
frc1318,4,29.59057666969925,22.05746533414257,26.941861969722325,6.820724549296792,16,30,78.58990397356415,85.41062852286093
frc610,3,31.19569835132129,22.54747771195633,23.68296220104766,7.206850532804131,16.65,30,77.42613826432527,84.6329887971294
frc2910,3,28.210996265709806,21.106107605395504,27.807783406318187,7.206850532804131,16,30,77.12488727742348,84.33173781022762
