Team,# Events,Adj Qual DP,Adj Alliance DP,Adj Playoff DP,Adj Awards DP,Best Alliance,Best Playoff,Adj DP,Adj DP w/Awards
frc4613,4,32.96683532160116,23.872535922538773,45.471496995311945,10.610015965572787,16,30,102.31086823945188,112.92088420502466
frc2168,4,33.125985561084754,23.781592928548147,46.721963162683025,5.892348152309173,17.759999999999998,33.3,103.62954165231592,109.5218898046251
frc2974,4,29.632258875278286,22.98205243971391,38.30973621855031,13.470930984861162,16.65,30,90.9240475335425,104.39497851840368
frc33,4,31.610268994574355,24.918380353430944,39.14338033013103,7.786993860447171,17.759999999999998,33.3,95.67202967813634,103.45902353858351
frc610,3,29.34184612423341,22.134995591429277,43.24110319682478,7.206850532804131,17.759999999999998,33.3,94.71794491248747,101.9247954452916
frc1574,3,31.19569835132129,22.54747771195633,38.096663266655916,9.524165816663979,16.65,30,91.83983932993354,101.36400514659752
frc1885,3,29.290865187988494,21.05512666915059,38.096663266655916,12.096385781748413,16,30,88.44265512379498,100.53904090554339
frc4039,4,27.783084664135597,19.154868109275156,38.30973621855031,14.816129437639143,16,30,85.24768899196106,100.0638184296002
frc2767,3,26.87158803163881,22.54747771195633,43.24110319682478,7.206850532804131,16.65,33.3,92.66016894041992,99.86701947322406
frc1678,3,29.661635633406068,21.31930061151061,41.711675109477284,6.951945851579547,16,30,92.69261135439396,99.6445572059735
frc384,3,26.56106778360159,21.62055159841239,43.24110319682478,7.206850532804131,16.65,33.3,91.42272257883876,98.62957311164288
frc2056,3,31.710142344338173,23.061921704973216,33.97184206138539,9.524165816663979,17.759999999999998,33.3,88.74390611069678,98.26807192736077
frc3238,3,29.856290117250296,23.061921704973216,33.46203269893622,11.84148110052383,17.759999999999998,30,86.38024452115972,98.22172562168356
frc1595,3,26.10223935739734,15.396242745964836,43.24110319682478,11.84148110052383,16,33.3,84.73958530018695,96.58106640071078
frc4188,4,28.412107039237416,23.698228517390074,31.147975441788684,12.080261035087874,16,30,83.25831099841618,95.33857203350405
frc910,4,24.960062559009984,19.234443229016954,42.51584969061667,7.786993860447171,17.759999999999998,30,86.71035547864359,94.49734933909077
frc3132,3,23.63661589537046,21.78276366828258,37.07704454175759,11.586576419299245,16,30,82.49642410541063,94.08300052470986
frc2046,4,29.295011939229724,23.360981581341512,35.35408891385504,5.683937124413993,16.65,33.3,88.01008243442627,93.69401955884025
frc3015,2,25.238460473570786,19.082738406846204,36.934332400347486,11.080299720104247,16,30,81.25553128076449,92.33583100086872
frc2471,3,26.45910591111176,19.76669937132451,33.97184206138539,11.84148110052383,16.65,33.3,80.19764734382166,92.0391284443455
frc4939,4,24.70618003411949,22.561441092507277,42.51584969061667,1.8946457081379977,16,30,89.78347081724344,91.67811652538143
