Team #,DP,DivDP,OPR,CCWM,Region
100,12,12,59.385458438256464,59.385458438256464,California
108,13,13,117.56299165255186,117.56299165255186,Florida
1369,10,10,81.3594497635222,81.3594497635222,Florida
1378,8,8,95.41534960381873,95.41534960381873,Hawaii
1410,15,15,100.41601967178835,100.41601967178835,Colorado
1414,32,32,161.86520313264495,161.86520313264495,PCH
1421,36,36,126.12883564346049,126.12883564346049,Mississippi
1425,30,30,164.0577128095129,164.0577128095129,PNW
1466,9,9,101.77100703136614,101.77100703136614,Tennessee
1477,25,25,132.46541333815028,132.46541333815028,Texas
16,40,40,158.2565281198792,158.2565281198792,Arkansas
1622,14,14,133.61977243407333,133.61977243407333,California
1690,47,47,205.51532124942102,205.51532124942102,ISR
175,41,41,150.38796386773376,150.38796386773376,NE
1769,6,6,44.94770512731149,44.94770512731149,Kansas
2152,14,14,143.67870684171402,143.67870684171402,Florida
2415,17,17,102.13544179200977,102.13544179200977,PCH
2429,12,12,40.81915044008731,40.81915044008731,California
2556,11,11,144.50658414705293,144.50658414705293,Florida
2723,5,5,91.80413768885094,91.80413768885094,Oklahoma
2811,6,6,113.08026991998914,113.08026991998914,PNW
2910,85,65,182.11327719829305,182.11327719829305,PNW
2928,15,15,130.5769070754785,130.5769070754785,PNW
3132,22,22,101.84583154458555,101.84583154458555,Australia
3145,9,9,109.05808829175746,109.05808829175746,Idaho
3229,15,15,109.47867637761142,109.47867637761142,NC
3238,18,18,98.56351939433766,98.56351939433766,PNW
341,50,50,146.95907388458116,146.95907388458116,MAR
342,26,26,128.86155751041701,128.86155751041701,South Carolina
343,16,16,123.58046900580865,123.58046900580865,South Carolina
3753,13,13,101.43090829029704,101.43090829029704,Louisiana
3834,8,8,13.816037822803604,13.816037822803604,Texas
3991,9,9,88.7815975593594,88.7815975593594,Louisiana
4013,3,3,53.49752477180978,53.49752477180978,Florida
4171,8,8,53.52403529818557,53.52403529818557,California
418,18,18,110.54214268875431,110.54214268875431,Texas
4192,12,12,96.91487471450849,96.91487471450849,Texas
4265,43,43,169.91889246139846,169.91889246139846,Tennessee
4306,5,5,71.32312210072439,71.32312210072439,Tennessee
4499,63,48,152.51088716370538,152.51088716370538,Colorado
4501,12,12,66.73733221924972,66.73733221924972,California
4795,14,14,122.13909026499654,122.13909026499654,NC
4911,88,68,199.8601275870977,199.8601275870977,PNW
4944,50,50,129.23425485491322,129.23425485491322,Colorado
5006,15,10,127.94639580714721,127.94639580714721,Arkansas
5026,28,28,126.54680696109884,126.54680696109884,California
5458,11,11,149.38877918555426,149.38877918555426,California
5499,24,24,100.6268615468492,100.6268615468492,California
580,16,16,128.88583136511048,128.88583136511048,California
5803,26,26,154.41164223195068,154.41164223195068,PNW
5805,18,18,134.28764858289782,134.28764858289782,California
5829,7,7,62.438083378304476,62.438083378304476,Texas
5987,51,51,169.42756368097778,169.42756368097778,ISR
6413,11,11,57.31035261712992,57.31035261712992,Arizona
6502,27,27,139.1258402014458,139.1258402014458,NC
6800,29,29,165.1481127205968,165.1481127205968,Texas
6832,11,11,48.150256802957195,48.150256802957195,Mexico
6838,8,8,58.37902113088997,58.37902113088997,Turkey
6846,10,10,67.35148476141724,67.35148476141724,Tennessee
6902,9,9,18.58349063459978,18.58349063459978,Brazil
6985,11,11,12.717241790598152,12.717241790598152,Turkey
6988,16,16,132.550427112635,132.550427112635,Turkey
7111,14,14,86.5177761461036,86.5177761461036,Alabama
7123,12,12,75.05712071725925,75.05712071725925,Arkansas
7301,7,7,77.84418441676374,77.84418441676374,Idaho
744,29,29,126.58271271506942,126.58271271506942,Florida
801,12,12,104.89419899532197,104.89419899532197,Florida
932,14,14,59.719572435756135,59.719572435756135,Oklahoma
1197,30,30,117.8850062811966,117.8850062811966,California
1311,11,11,97.40682740291544,97.40682740291544,PCH
1574,66,61,136.60434123525732,136.60434123525732,ISR
1577,40,40,131.5748072121996,131.5748072121996,ISR
1817,37,37,129.15957205385806,129.15957205385806,Texas
1939,17,17,124.0887499430382,124.0887499430382,Missouri
1986,38,38,182.89582639056394,182.89582639056394,Missouri
2468,18,18,106.49218446352498,106.49218446352498,Texas
2485,33,33,140.3776389312127,140.3776389312127,California
2486,22,22,110.11542171212497,110.11542171212497,Arizona
2659,19,19,141.95469543536504,141.95469543536504,California
2682,27,27,102.02961524992723,102.02961524992723,NC
2789,12,12,104.33930340043318,104.33930340043318,Texas
3005,34,34,191.9155734693607,191.9155734693607,Texas
3006,6,6,79.47689565452339,79.47689565452339,Utah
3008,13,13,107.3751420926544,107.3751420926544,Hawaii
