Adj DP,Qual DP,Alliance DP,Playoff DP,Qual Points,Alliance Points,Playoff Points,Total Points
82.49642410541063,24.470849397560006,22.802382393180917,35.2231923146697,17,15,0,32
37.54990460701995,22.77617164688095,14.773732960138997,0.0,14,3,20,37
40.01219343370978,19.69831061351866,14.158160753466538,6.155722066724581,21,15,0,36
17.23602178682883,12.927016340121622,4.309005446707207,0.0,20,14,20,54
44.121683004691526,24.5635420089144,14.92351042805743,4.634630567719698,22,16,5,43
11.0,11.0,0.0,0.0,8,0,0,8
46.902461345323346,22.802382393180917,14.830817816703034,9.269261135439397,17,16,5,38
58.65823112395241,26.60082574225749,20.689531132866936,11.367874248827986,9,2,0,11
38.0,17.0,11.0,10.0,15,0,0,15
35.13049970331531,18.445829659524396,2.780778340631819,13.903891703159093,12,0,0,12
17.851593993501286,12.311444133449163,5.540149860052123,0.0,13,0,0,13
16.0,13.0,3.0,0.0,18,13,10,41
29.547465920277993,16.00487737348391,1.2311444133449163,12.311444133449163,12,4,10,26
36.31876019367503,18.467166200173743,11.695871926776706,6.155722066724581,13,0,0,13
35.08761578033012,20.92945502686358,14.158160753466538,0.0,8,0,0,8
29.012787353925308,14.645432593994247,0.4634630567719698,13.903891703159093,10,0,0,10
58.95250082139456,28.827402131216523,19.928911441194703,10.196187248983335,11,1,5,17
41.06282682999652,21.133915388801825,10.659650305755305,9.269261135439397,5,0,0,5
53.11286630606774,22.9877676158897,13.440428646387124,16.684670043790913,10,0,0,10
23.0,15.0,8.0,0.0,7,0,0,7
13.0,13.0,0.0,0.0,9,0,0,9
30.6812543583044,20.021604052549097,10.659650305755305,0.0,14,0,0,14
24.0,10.0,4.0,10.0,12,0,0,12
16.0,16.0,0.0,0.0,6,0,0,6
44.81365664575495,23.268629412218917,9.233583100086872,12.311444133449163,16,0,0,16
8.0,8.0,0.0,0.0,4,0,0,4
32.0,16.0,6.0,10.0,15,0,0,15
46.78348770710682,19.082738406846204,15.389305166811454,12.311444133449163,16,14,20,50
28.316321506933075,17.851593993501286,10.46472751343179,0.0,19,13,10,42
35.70318798700257,16.62044958015637,12.927016340121622,6.155722066724581,11,0,0,11
77.13860536113043,28.900925631937017,23.228356381771853,25.00932334742157,18,10,20,48
57.115989517528085,21.341289256466407,5.725619329993029,30.049080931068644,10,11,15,36
25.854032680243243,11.695871926776706,8.002438686741955,6.155722066724581,9,0,0,9
40.01219343370978,23.39174385355341,16.62044958015637,0.0,12,0,0,12
22.895075004535308,17.33351832327167,5.561556681263638,0.0,12,0,0,12
27.08517709358816,15.389305166811454,5.540149860052123,6.155722066724581,11,0,0,11
49.03343092661138,24.70996932553577,16.744878768523623,7.578582832551991,5,13,15,33
43.092795018657746,21.982052782694527,16.476111668243526,4.634630567719698,13,9,30,52
36.93433240034749,19.082738406846204,11.695871926776706,6.155722066724581,3,5,0,8
10.46472751343179,10.46472751343179,0.0,0.0,14,11,15,40
28.316321506933075,16.62044958015637,5.540149860052123,6.155722066724581,12,1,5,18
19.082738406846204,13.542588546794079,5.540149860052123,0.0,11,0,0,11
21.545027233536036,16.00487737348391,5.540149860052123,0.0,9,0,0,9
15.389305166811454,14.773732960138997,0.6155722066724582,0.0,15,0,0,15
32.178240031677866,17.34742221497483,0.9269261135439396,13.903891703159093,14,15,5,34
24.007316060225868,17.851593993501286,6.155722066724581,0.0,14,0,0,14
31.515487860493945,20.39237449796667,11.123113362527276,0.0,16,0,0,16
28.931893713605536,17.23602178682883,11.695871926776706,0.0,20,0,0,20
35.11659581161215,15.187684370417449,6.025019738035607,13.903891703159093,13,0,0,13
64.87266904664504,25.539824145700212,20.386387819564856,18.94645708137998,14,14,5,33
95.22005768208658,35.43079451689717,25.00997260016271,34.779290565026685,22,16,5,43
8.618010893414414,8.618010893414414,0.0,0.0,13,0,0,13
67.06287948525258,29.245751150818137,12.807804987012863,25.00932334742157,17,10,20,47
102.25694862492657,36.50366918390778,25.78788776657524,39.965391674443524,22,16,5,43
24.007316060225868,14.773732960138997,3.0778610333622907,6.155722066724581,7,0,0,7
33.8564713669852,15.389305166811454,6.155722066724581,12.311444133449163,13,0,0,13
35.11659581161215,20.285777994909118,10.196187248983335,4.634630567719698,8,3,5,16
22.160599440208493,15.389305166811454,6.771294273397039,0.0,10,0,0,10
42.83415016958385,20.62890247020652,10.837373450549348,11.367874248827986,16,13,15,44
14.158160753466538,14.158160753466538,0.0,0.0,6,0,0,6
