Team #,2010 DP,2010 OPR,2010 Rank,2011 DP,2011 OPR,2011 Rank,2012 DP,2012 OPR,2012 Rank,2013 DP,2013 OPR,2013 Rank,2014 DP,2014 OPR,2014 Rank,2015 DP,2015 OPR,2015 Rank,2016 DP,2016 OPR,2016 Rank,2017 DP,2017 OPR,2017 Rank,2018 DP,2018 OPR,2018 Rank,
1,33.01230681859647,2.7681536330370218,30.5,27.13576197399883,10.484897903512596,28.333333333333332,18.075059214106822,5.509838264215013,44.666666666666664,30.16303812695045,13.378602158664775,18.0,14.773732960138997,23.30104618609309,26.0,40.22332838376969,40.49721628302613,22.75,20.92945502686358,22.68568185659909,23.0,15.389305166811454,68.17132661199096,33.0,30.16303812695045,95.60268089222134,13.0,
103,47.273231790740915,2.8162264361861467,15.333333333333334,61.45520132796319,31.618733258995487,11.333333333333334,57.82458701237169,18.313963232146595,18.0,51.788245786244026,50.5611710937625,11.25,29.939713467469243,37.78914162344501,40.0,37.6655566777834,30.815471134796727,21.0,24.781965862445013,24.442217094430585,29.0,53.23196581584519,81.9186564056271,23.5,35.08125993188317,120.01305595573697,25.75,
108,11.32652860277323,0.9440621655131932,50.5,34.102700249654184,-1.709735379678379,48.0,27.08517709358816,9.227056801779801,15.0,35.08761578033012,25.703473632167935,3.5,52.9392097738314,66.97617088448067,9.5,31.793565694557124,18.4780944917082,35.333333333333336,16.00487737348391,17.1347263424238,35.0,34.38895881248016,107.55412134355753,30.333333333333332,29.40490139030172,107.42365642851352,42.25,
1111,23.145514970884427,1.5216251133849883,39.0,41.85891005372716,16.188795118576092,16.5,17.482250669497812,8.735916060052107,51.5,16.40659220972773,9.618592003693864,46.0,49.86134874046911,56.51559188803291,15.0,30.773946969658795,20.360504806782256,26.0,36.474542567954025,28.155061196667344,23.0,51.45857743302802,103.56647484904266,16.25,26.106873987965056,94.72514874113092,23.666666666666668,
1124,62.47482005286153,3.01782322416021,9.0,40.01219343370978,22.451774286839665,5.5,12.0,10.288530954499295,34.0,5.0,5.454073893137277,54.0,27.08517709358816,19.71315867634589,22.0,43.20022224144228,33.076622844233604,19.4,42.772368899915385,37.546634723811884,17.8,26.4696048869157,71.37810468327362,17.5,6.0,51.22387777518943,30.0,
1153,21.914370557539513,0.21476637969043413,45.5,38.78104902036487,17.40120664020364,14.5,30.778610333622908,6.730701649563786,24.5,31.515487860493945,32.26865847401175,23.333333333333332,51.04933396007022,48.228465479368005,8.5,21.545027233536036,12.226169569668162,26.5,46.08157291333238,40.83831486653835,7.5,37.48745998121842,105.08977642791935,13.5,27.44628222203605,83.03579410475722,28.666666666666668,
118,49.590547074600764,3.358907146295573,17.333333333333332,58.65823112395241,45.95381376188398,4.0,90.86720816229837,29.013848098828536,4.75,79.80247722677247,76.70576740824592,2.75,95.64171534680612,98.60024296690658,3.25,107.08537542395963,104.1801994505082,1.5,91.17035147560044,65.47146097410346,4.5,95.33857203350404,138.63177179816134,1.5,101.6287957845222,199.008605152938,2.75,
1218,49.590547074600764,3.2163777444322257,12.666666666666666,60.25019738035607,40.25642893960198,12.666666666666666,83.15913128949904,26.217947417941595,5.0,40.91833775329887,45.68161562307218,17.6,56.8331855328218,64.61971471804137,15.4,77.58731391006933,50.16607552352276,6.2,49.62774630392578,30.965398068867636,23.6,32.15213766710182,70.47051603505047,28.0,52.59536485791082,140.12495449178454,12.25,
122,43.84360517062834,2.0623739100836604,9.0,46.53169089990577,18.299372325398465,10.666666666666666,31.39418254029537,6.0936944193424285,24.5,14.552739982639851,8.332087835957438,53.333333333333336,10.46472751343179,15.625690379343048,47.5,24.563542008914396,22.83746076656011,28.666666666666668,55.33502255187836,39.433124862384325,14.75,,,36.627485376688774,121.75958109938138,16.333333333333332,
1241,34.57434403518894,2.0195795268964476,20.666666666666668,60.09816186213728,22.67131996270525,11.5,47.66928601675202,13.08464669294267,15.0,80.10562054007454,46.24091996088234,5.25,74.22607212852853,79.24301805841276,13.8,48.95764509828586,23.18082980802814,26.5,97.23321774164205,58.66959834315689,2.0,67.44200361477262,103.78360184148274,15.0,94.66579312601765,197.2039111141043,2.2,
1319,28.950186420348608,0.7272968151544192,32.0,38.46743371207349,24.905217356463265,10.666666666666666,48.95764509828586,7.3485300535053195,46.0,33.8328031443538,28.604501805857208,10.0,53.761714585548496,71.8844914479124,4.0,56.542492926180316,39.85865081565404,20.0,16.00487737348391,17.41917071308425,36.0,51.90786235846061,93.77948831321112,23.0,26.4696048869157,114.23823298740102,18.0,
1418,46.160920454488185,0.5904171467758186,43.0,27.08517709358816,14.578743889753405,15.5,46.78348770710682,9.432351351444845,11.5,25.854032680243243,23.08217663996549,35.0,65.25065390728057,71.78497866601545,4.5,46.0,39.472531653896624,2.0,71.07194980367257,41.60345813460501,6.25,41.72767707603126,91.22910957694363,25.0,37.22978816491165,142.10385559181265,22.0,
148,84.53566155520728,5.111627855299868,13.333333333333334,60.25019738035607,59.51055630740378,3.0,69.04088960454862,22.9552012862463,4.5,76.08897163882199,60.33753379395132,12.5,91.54928061722805,93.14945280392506,7.0,96.21493058586093,98.73228572652205,1.0,97.23321774164205,70.06403722962779,3.25,81.16662213663182,120.58475100480278,7.75,95.19531186096259,242.59322617168436,2.0,
1503,45.04860911823546,2.3473737208567944,22.0,92.41453352033078,52.58721683289681,9.0,52.32363756715895,14.592730781482976,9.5,53.947099808257285,43.15016020455901,27.0,46.78348770710682,42.13180993875386,13.5,,,,,,,,,
